category,id,sku,name,url_key,price,regular_price,image
Water Toys & Activites,1553101,6941607306239,"Bestway Spiderman Water Ball, 51 cm - 98002 ",bestway-spiderman-water-ball-51-cm-98002,115,115,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607306239_copy.jpg
Water Toys & Activites,137619,6942138921120,"Bestway Noodles Swim Float Aqua Bone, 120 cm - 1 Piece",bestway-noodles-swim-float-aqua-bone-120-cm-1-piece,375,375,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138921120.png
Water Toys & Activites,135186,6941057455358,Intex Inflatable Ride-On - Dolphin Design,intex-inflatable-ride-on-dolphin-design,665,665,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941057455358.jpg
Water Toys & Activites,130083,6941057452609,Intex Inflatable Transparent Tube - +8 Years,intex-inflatable-transparent-tube-8-years,143,143,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941057452609.jpg
Water Toys & Activites,123108,3003344229913,Intex Foam for Swimming Learning - EVA-2028,intex-foam-for-swimming-learning-eva2028,87.5,87.5,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/3/0/3003344229913.jpg
Water Toys & Activites,127479,6942138900026,Bestway Water Ball - 51 cm,bestway-water-ball-51-cm,55,55,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6942138900026_copy.jpg
Water Toys & Activites,130911,6941057456607,Intex Inflatable Life Jacket - +3 Years,intex-inflatable-life-jacket-3-years,328,328,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941057456607.jpg
Water Toys & Activites,79029,3003344229916,Intex Foam for Swimming Learning - EVA-2005,intex-foam-for-swimming-learning-eva2005,25,25,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/3/0/3003344229916.jpg
Water Toys & Activites,79014,6941057452319,"Intex Pool School Deluxe Swim Ring, 51 cm, 3-5 Y - 58231",intex-pool-school-deluxe-swim-ring-51-cm-35-y-58231,154.95,154.95,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941057452319_copy.jpg
Water Toys & Activites,8571273,6941607330807,Bestway Aqua Burst Goggles - Assorted Colors,bestway-aqua-burst-goggles-assorted-colors,82,82,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/9/6941607330807.jpg
