objectID,name,slug,barcode,sku,price,special_price,brand,brand_label,category,description,image,in_stock
Webkul\Product\Models\ProductFlat::2196701,محمود الفار علبه بيتي فور شوكولاتة باللوز 1 كيلو,محمود-الفار-علبه-بيتي-فور-شوكولاتة-باللوز-1-كيلو-,,2108140000000,389.95,299.95,112,محمود الفار,موسمي,محمود الفار علبه بيتي فور شوكولاتة باللوز 1 كيلو,,
Webkul\Product\Models\ProductFlat::2196700,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,Mahmoud El Far,موسمي,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,,
Webkul\Product\Models\ProductFlat::2196699,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,محمود الفار,موسمي,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,,
Webkul\Product\Models\ProductFlat::2196698,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,Mahmoud El Far,موسمي,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,,
Webkul\Product\Models\ProductFlat::2196697,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,محمود الفار,موسمي,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,,
Webkul\Product\Models\ProductFlat::2196696,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,Mahmoud El Far,موسمي,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,,
Webkul\Product\Models\ProductFlat::2196695,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,محمود الفار,موسمي,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,,
Webkul\Product\Models\ProductFlat::2196694,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,Mahmoud El Far,موسمي,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,,
Webkul\Product\Models\ProductFlat::2196693,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,محمود الفار,موسمي,محمود الفار علبه بيتي فور شوكولاته بالبندق 500 جم,,
Webkul\Product\Models\ProductFlat::2196692,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,محمود-الفار-علبه-بيتي-فور-شوكولاته-بالبندق-500-جم-,,2108138000000,279.95,219.95,112,Mahmoud El Far,موسمي,Mahmoud ElFar Chocolate Petit Fours With Hazelnut Box 500 Gm,,
